Name	UFboot	sCF	Branch_Length	Branch_Support_Color	coord_x	coord_y	Strain	Date	DateBP	Country	Province	CountryLat	CountryLon	ProvinceLat	ProvinceLon	Biovar	Branch_Major	Branch_Minor	BioSample	BioSampleComment	Branch_Number	timetree_rate	timetree_rate_fold_change	timetree_mutation_length	timetree_raw_date	timetree_num_date	timetree_num_date_confidence	timetree_num_date_bar	timetree_clock_length	timetree_coord_x	timetree_coord_y	timetree_reg_x	timetree_reg_y	timetree_reg_bad	Mugration_Branch_Number	Mugration_Branch_Number_Confidence	Mugration_Branch_Number_Entropy	Mugration_Branch_Major	Mugration_Branch_Major_Confidence	Mugration_Branch_Major_Entropy	Mugration_Branch_Minor	Mugration_Branch_Minor_Confidence	Mugration_Branch_Minor_Entropy	Mugration_Country	Mugration_Country_Confidence	Mugration_Country_Entropy	Mugration_Country_Lat	Mugration_Country_Lon	Mugration_Province	Mugration_Province_Confidence	Mugration_Province_Entropy	Mugration_Province_Lat	Mugration_Province_Lon	geometry
NODE0	100.0	NA	0.0	black	0.001	16.18966991454363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.294306634867748e-09	1.0	0.001	-3969-10-31	-3968.168257299146	[-4053.4696667283065, -3775.871275763169]	[6074.469666728306, 5796.871275763169]	0.1	0.1	16.18966991454363	-3968.168257299146	0.0	False	0	0.9999999959907722	8.700696017495986e-08	0.PRE	0.9987218847309262	0.009834317376210454	0.PRE2	0.3924213021213489	1.3294384152243535	Russia	0.9922826137686316	0.04913267385091865	64.6863136	97.7453061	Krasnoyarsk Krai	0.3821337921491565	1.653172408802675	63.3233807	97.0979974	POINT (97.0979974 63.3233807)
SAMEA3541827	NA	NA	3.8504e-06	grey	0.0010034400821007606	1	RISE509	[-2876:-2677]	[-4897:-4698]	Russia	Krasnoyarsk Krai	64.6863136	97.7453061	63.3233807	97.09799740000001	Bronze Age	0.PRE	0.PRE2	SAMEA3541827	KEEP: SRA Ancient	0	2.9212180845503864e-09	0.3143018838641914	3.4400821007605985e-06	-2879-04-29	-2878.6760739657966	[-2876.0, -2677.0]	[4897.0, 4698.0]	1089.4921833333492	1089.592183333349	1.0	-2776.5	3.4400821007605985e-06	False	0	1.0	-1.000088900581841e-12	0.PRE	1.0	-1.000088900581841e-12	0.PRE2	1.0	-1.000088900581841e-12	Russia	0.9999999999999999	-9.99866855976916e-13	64.6863136	97.7453061	Krasnoyarsk Krai	0.9999999999999999	-9.99866855976916e-13	63.3233807	97.0979974	POINT (97.0979974 63.3233807)
NODE1	100.0	85.0	1.32708e-05	black	0.001007961018918638	3.15625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.294823261217822e-08	1.3931359401897403	7.961018918638053e-06	-3344-05-29	-3343.593916868588	[-3410.597628864688, -3141.8834534160624]	[5431.597628864688, 5162.883453416062]	624.5743404305576	624.6743404305577	3.15625	-3343.593916868588	7.961018918638053e-06	False	0	0.9999999959907765	8.700687114499646e-08	0.PRE	0.9999983582404877	2.3634165624938597e-05	0.PRE1	0.9992068802258414	0.007327120106125113	Russia	0.9775572628237769	0.13692606319118591	64.6863136	97.7453061	Panevezys County	0.44245373854463466	1.9271843095082541	55.9156048	25.03115989218585	POINT (25.03115989218585 55.9156048)
SAMEA104233046	NA	NA	2.2484e-06	grey	0.0010101112127399116	2	Gyvakarai1	[-2621:-2472]	[-4642:-4493]	Lithuania	Panevezys County	55.350000300000005	23.7499997	55.9156048	25.03115989218585	Bronze Age	0.PRE	0.PRE1	SAMEA104233046	KEEP: SRA Ancient	0	2.676484390282013e-09	0.28797031294848147	2.1501938212735414e-06	-2621-03-04	-2620.829199603767	[-2621.0, -2479.9633520025095]	[4642.0, 4500.963352002509]	722.7647172648212	1347.4390576953788	2.0	-2546.5	1.0111212739911594e-05	False	0	1.0	-1.000088900581841e-12	0.PRE	1.0	-1.000088900581841e-12	0.PRE1	1.0	-1.000088900581841e-12	Lithuania	1.0	-1.000088900581841e-12	55.35000030000001	23.7499997	Panevezys County	1.0	-1.000088900581841e-12	55.9156048	25.03115989218585	POINT (25.03115989218585 55.9156048)
NODE2	100.0	94.6	1.36364e-05	black	0.0010219623649274547	4.3125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9851531160627474e-08	2.1358808075208238	1.4001346008816786e-05	-2647-12-25	-2646.0180893942243	[-2736.467858920857, -2594.5197777779895]	[4757.467858920857, 4615.5197777779895]	697.5758274743639	1322.2501679049215	4.3125	-2646.0180893942243	2.196236492745484e-05	False	0	0.9999999959907722	8.700696017477765e-08	0.PRE	0.9999999899257811	2.1519472458439616e-07	0.PRE1	0.9999989261620896	1.7165889212551908e-05	Russia	0.9769687718294887	0.14309998003053218	64.6863136	97.7453061	Pärnu maakond	0.4425270058584636	1.9225573019231246	58.31950685	24.30261214859043	POINT (24.30261214859043 58.31950685)
SAMEA104233047	NA	NA	2.683e-07	grey	0.0010223922413212165	3	KunilaII	[-2574:-2340]	[-4595:-4361]	Estonia	Pärnu maakond	58.75237779999999	25.3319078	58.31950685	24.30261214859043	Bronze Age	0.PRE	0.PRE1	SAMEA104233047	KEEP: SRA Ancient	0	2.4452428058482565e-09	0.2630903952183896	4.2987639376176873e-07	-2485-03-09	-2484.8139016065297	[-2501.376321053019, -2340.0]	[4522.37632105302, 4361.0]	161.20418778769454	1483.454355692616	3.0	-2457.0	2.239224132121661e-05	False	0	1.0	-1.000088900581841e-12	0.PRE	1.0	-1.000088900581841e-12	0.PRE1	1.0	-1.000088900581841e-12	Estonia	1.0	-1.000088900581841e-12	58.75237779999999	25.3319078	Pärnu maakond	1.0	-1.000088900581841e-12	58.31950685	24.30261214859043	POINT (24.30261214859043 58.31950685)
NODE3	100.0	53.7	1.1231e-06	black	0.0010223921585870795	5.625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.8846885907928958e-08	2.0277882631098643	4.2979365962480244e-07	-2628-01-21	-2627.9446559531825	[-2693.5414265964873, -2577.430631971596]	[4714.541426596487, 4598.430631971596]	18.073433441041743	1340.3236013459632	5.625	-2627.9446559531825	2.239215858707964e-05	False	0	0.9999999959866227	8.709282892032198e-08	0.PRE	0.9999999920020374	1.7454699933999114e-07	0.PRE1	0.9999999620155523	8.207727074999835e-07	Russia	0.9864225701972542	0.08374016206477039	64.6863136	97.7453061	Irkutsk Oblast	0.3806835748826149	1.6392249313487135	56.6370122	104.719221	POINT (104.719221 56.6370122)
NODE4	100.0	98.7	1.173e-06	red	0.0010234669139019892	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2649400469209729e-08	1.3609837684669548	1.0747553149097468e-06	-2564-05-02	-2563.6667815981373	[-2601.544358445121, -2535.043092787392]	[4622.54435844512, 4556.043092787392]	64.27787435504524	1404.6014757010084	4.5	-2563.6667815981373	2.3466913901989386e-05	False	0	0.9999999959949261	8.692099771667215e-08	0.PRE	0.9999999920202878	1.7417086717337592e-07	0.PRE1	0.9999999634532769	7.922139402502151e-07	Russia	0.9999349288182361	0.0007695009205994326	64.6863136	97.7453061	Irkutsk Oblast	0.998217609164459	0.01672413411103223	56.6370122	104.719221	POINT (104.719221 56.6370122)
SAMEA6812876	NA	NA	2.346e-07	grey	0.00102368181511112	4	GLZ001	[-2838:-2495]	[-4859:-4516]	Russia	Irkutsk Oblast	64.6863136	97.7453061	56.6370122	104.71922099999999	Bronze Age	0.PRE	0.PRE1	SAMEA6812876	KEEP: SRA Ancient	0	1.0347768554850927e-08	1.1133448638364372	2.1490120913061917e-07	-2544-06-30	-2543.504858853251	[-2589.4080921780533, -2495.0]	[4610.408092178053, 4516.0]	20.161922744886397	1424.7633984458948	4.0	-2666.5	2.3681815111120005e-05	False	0	1.0	-1.000088900581841e-12	0.PRE	1.0	-1.000088900581841e-12	0.PRE1	1.0	-1.000088900581841e-12	Russia	1.0	-1.000088900581841e-12	64.6863136	97.7453061	Irkutsk Oblast	0.9999999999999999	-9.99866855976916e-13	56.6370122	104.719221	POINT (104.719221 56.6370122)
SAMEA6812877	NA	NA	2.35e-08	grey	0.0010234669139019892	5	GLZ002	[-2569:-2467]	[-4590:-4488]	Russia	Irkutsk Oblast	64.6863136	97.7453061	56.6370122	104.71922099999999	Bronze Age	0.PRE	0.PRE1	SAMEA6812877	KEEP: SRA Ancient	0	9.294306634867748e-09	1.0	2.0249406948222717e-22	-2564-05-02	-2563.6667815981373	[-2569.0, -2467.0]	[4590.0, 4488.0]	0.0	1404.6014757010084	5.0	-2518.0	2.3466913901989386e-05	False	0	1.0	-1.000088900581841e-12	0.PRE	1.0	-1.000088900581841e-12	0.PRE1	1.0	-1.000088900581841e-12	Russia	1.0	-1.000088900581841e-12	64.6863136	97.7453061	Irkutsk Oblast	0.9999999999999999	-9.99866855976916e-13	56.6370122	104.719221	POINT (104.719221 56.6370122)
