Name	UFboot	sCF	Branch_Length	Branch_Support_Color	coord_x	coord_y	Strain	Date	DateBP	Country	Province	CountryLat	CountryLon	ProvinceLat	ProvinceLon	Biovar	Branch_Major	Branch_Minor	BioSample	BioSampleComment	Branch_Number	timetree_rate	timetree_rate_fold_change	timetree_mutation_length	timetree_raw_date	timetree_num_date	timetree_num_date_confidence	timetree_clock_length	timetree_coord_x	timetree_coord_y	timetree_reg_x	timetree_reg_y	timetree_reg_bad
SAMEA3541827	NA	NA	3.8504e-06	grey	3.8504e-06	1.0	RISE509	[-2876:-2677]	[-4897:-4698]	Russia	Krasnoyarsk Krai	64.6863136	97.7453061	63.3233807	97.09799740000001	Bronze Age	0.PRE	0.PRE2	SAMEA3541827	KEEP: SRA Ancient	0.0	2.9516333074248136e-09	0.30382825100629773	3.4391196815437943e-06	-2868-10-14	-2867.214959260792	[-2876.0, -2691.2612440898392]	1242.4500452126167	1242.5500452126166	1.0	-2776.5	3.4391196815437943e-06	False
SAMEA104233046	NA	NA	2.2484e-06	grey	1.5519200000000002e-05	2.0	Gyvakarai1	[-2621:-2472]	[-4642:-4493]	Lithuania	Panevezys County	55.35000030000001	23.7499997	55.9156048	25.03115989218585	Bronze Age	0.PRE	0.PRE1	SAMEA104233046	KEEP: SRA Ancient	0.0	2.427175257452559e-09	0.24984282820719464	1.9346583540846624e-06	-2621-01-01	-2620.9998970643637	[-2621.0, -2480.6131434990193]	867.6650653283941	1488.765107409045	2.0	-2546.5	1.0535710343919604e-05	False
SAMEA104233047	NA	NA	2.683e-07	grey	2.71755e-05	3.0	KunilaII	[-2574:-2340]	[-4595:-4361]	Estonia	Pärnu maakond	58.75237779999999	25.3319078	58.31950685	24.30261214859043	Bronze Age	0.PRE	0.PRE1	SAMEA104233047	KEEP: SRA Ancient	0.0	2.3498474597609336e-09	0.24188304219051177	2.1492355292396206e-07	-2574-01-01	-2573.9998970643637	[-2562.3, -2340.0]	177.74286550082616	1535.765107409045	3.0	-2457.0	2.3230526876165793e-05	False
SAMEA6812877	NA	NA	2.35e-08	grey	2.92268e-05	5.0	GLZ002	[-2569:-2467]	[-4590:-4488]	Russia	Irkutsk Oblast	64.6863136	97.7453061	56.6370122	104.71922099999999	Bronze Age	0.PRE	0.PRE1	SAMEA6812877	KEEP: SRA Ancient	0.0	8.18288351538805e-09	0.8423103169403255	1.0746431886002715e-06	-2569-01-01	-2568.9998970643637	[-2505.722235271236, -2467.0]	144.70886648610394	1540.765107409045	4.0	-2518.0	2.4734927395541103e-05	False
SAMEA104233049	NA	NA	2.55e-07	grey	3.91944e-05	6.0	1343UnTal85	[-2396:-2148]	[-4417:-4169]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Bronze Age	0.PRE	0.PRE1	SAMEA104233049	KEEP: SRA Ancient	0.0	9.715989441097887e-09	1.0001215500782943	2.148848180988921e-07	-2283-11-22	-2282.1079276893124	[-2268.769158469114, -2159.370800670329]	21.790344844449464	1827.6570767840963	5.0	-2272.0	3.3552443455250406e-05	False
SAMEA104233048	NA	NA	7.747e-07	grey	5.24284e-05	7.0	Post6	[-2007:-1882]	[-4028:-3903]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Bronze Age	0.PRE	0.PRE1	SAMEA104233048	KEEP: SRA Ancient	0.0	1.064275941281229e-08	1.0955192063124997	6.448022441009489e-07	-1882-01-01	-1881.999897064364	[-1908.8626651609586, -1882.0000000000002]	19.686454626364593	2227.765107409045	6.0	-1944.5	4.5598707183553124e-05	False
SAMEA3541826	NA	NA	3.2367000000000007e-06	grey	5.489040000000001e-05	8.0	RISE505	[-1746:-1626]	[-3767:-3647]	Russia	Altai Krai	64.6863136	97.7453061	52.693224300000004	82.69314240000001	Bronze Age	0.PRE	0.PRE1	SAMEA3541826	KEEP: SRA Ancient	0.0	9.739732130691068e-09	1.0025655189260287	2.579244907256081e-06	-1642-02-26	-1641.8453443450683	[-1728.560626837689, -1625.9999999999998]	259.8410073456603	2467.9196601283406	7.0	-1686.0	4.753314984670826e-05	False
GCA_000323485.1_ASM32348v1_genomic	NA	NA	2.346e-07	grey	4.257830000000001e-05	9.0	620024	1962	-59	China	Qinghai	35.000074	104.999927	35.40709525	95.95211573241954	Antiqua	0.PE	0.PE7	SAMN02403008	KEEP: Assembly Modern Cui 2013 Keller 2019	0.0	9.739648626735613e-09	1.002556923393286	3.3393367813326905e-05	-377-02-24	-376.85047037016307	[-541.0546335093507, 536.617473886999]	3355.1745633438322	3732.914534103246	8.0	NA	3.769238933023502e-05	True
GCA_001294825.1_ASM129482v1_genomic	NA	NA	2.346e-07	grey	7.94881e-05	11.0	C-537	1984	-37	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN03839871	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0.0	9.714808605351293e-10	0.1	2.148878525571211e-07	1984-01-01	1984.0	[1984.0, 1984.0]	711.9101789418323	6093.765004473409	9.0	1984.0	7.017935498146705e-05	False
GCA_001601675.1_ASM160167v1_genomic	NA	NA	1.67662e-05	grey	9.6747e-05	12.0	C-741	1999	-22	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN04336076	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0.0	1.866072012511298e-08	1.9208530896670404	1.5079773767655818e-05	1999-01-01	1999.0	[1999.0, 1999.0]	670.3343414590438	6108.765004473408	11.0	1999.0	8.56889153470916e-05	False
GCA_002127375.1_ASM212737v1_genomic	NA	NA	9.384e-07	grey	8.09192e-05	13.0	C-739	1998	-23	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN04992974	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0.0	1.4685566729315428e-09	0.15116681476592395	8.595790485634001e-07	1998-01-01	1998.0	[1998.0, 1998.0]	669.3343414590438	6107.765004473408	12.0	1998.0	7.146872062799918e-05	False
GCA_006376585.1_ASM637658v1_genomic	NA	NA	2.35e-08	grey	7.932400000000003e-05	14.0	C-371	1978	-43	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN12012142	KEEP: Assembly Modern	0.0	9.714808605351293e-10	0.1	3.331163375020365e-20	1978-01-01	1978.0	[1978.0, 1978.0]	705.9101789418323	6087.765004473409	10.0	1978.0	6.996446712890996e-05	False
GCA_002127355.1_ASM212735v1_genomic	NA	NA	2.8244e-06	grey	8.36059e-05	15.0	C-712	1996	-25	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN04993042	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0.0	4.769886984814411e-09	0.4909913492466514	2.579092604124634e-06	1996-01-01	1996.0	[1996.0, 1996.0]	585.7627235044256	6105.765004473409	13.0	1996.0	7.383297921910129e-05	False
GCA_002127365.1_ASM212736v1_genomic	NA	NA	9.7353e-06	grey	9.05168e-05	16.0	C-746	1997	-24	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN04992968	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0.0	1.3636839279928959e-08	1.40371672092616	8.817009132413544e-06	1997-01-01	1997.0	[1997.0, 1997.0]	586.7627235044256	6106.765004473409	14.0	1997.0	8.00708957473902e-05	False
GCA_001972405.1_ASM197240v1_genomic	NA	NA	1.6357e-05	grey	9.62492e-05	17.0	C-700	1995	-26	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN05521423	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0.0	1.8064032160506476e-08	1.859432634684754	1.4847046815344451e-05	1995-01-01	1995.0	[1995.0, 1995.0]	698.9798008225903	6104.765004473409	15.0	1995.0	8.524128400900156e-05	False
GCA_001972385.1_ASM197238v1_genomic	NA	NA	1.5192e-05	grey	9.719440000000002e-05	18.0	C-678	1988	-33	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN05521422	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0.0	1.9052814491978284e-08	1.9612135725950646	1.3769509135636205e-05	1988-01-01	1988.0	[1988.0, 1988.0]	580.0011510802321	6097.765004473409	16.0	1988.0	8.60979771056516e-05	False
GCA_001972465.1_ASM197246v1_genomic	NA	NA	8.5679e-06	grey	9.057030000000004e-05	19.0	C-370	1978	-43	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN05521420	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0.0	1.256581627414484e-08	1.2934702869208459	7.74024912205261e-06	1978-01-01	1978.0	[1978.0, 1978.0]	570.0011510802321	6087.765004473409	17.0	1978.0	8.0068717092068e-05	False
GCA_008630415.1_ASM863041v1_genomic	NA	NA	2.135e-06	grey	8.216280000000002e-05	20.0	C-672	1988	-33	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN12720423	KEEP: Assembly Modern	0.0	3.2269576668113763e-09	0.33216893897774197	1.935620237631254e-06	1988-01-01	1988.0	[1988.0, 1988.0]	652.076766618067	6097.765004473409	18.0	1988.0	7.254476114107084e-05	False
GCA_001972395.1_ASM197239v1_genomic	NA	NA	1.16836e-05	grey	9.337710000000002e-05	21.0	C-535	1984	-37	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN05521421	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0.0	1.5951414982170236e-08	1.6419690423322988	1.0539544477760084e-05	1984-01-01	1984.0	[1984.0, 1984.0]	561.1897843834622	6093.765004473409	20.0	1984.0	8.265303468216234e-05	False
GCA_002165475.1_ASM216547v1_genomic	NA	NA	1.21203e-05	grey	9.381380000000002e-05	22.0	C-824	2010	-11	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN04992971	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0.0	1.597639088168452e-08	1.6445399524272775	1.0968132636000396e-05	2010-01-01	2010.0	[2010.0, 2010.0]	587.1897843834622	6119.765004473409	21.0	2010.0	8.308162284040267e-05	False
GCA_015338205.1_ASM1533820v1_genomic	NA	NA	2.35e-08	grey	8.054400000000002e-05	24.0	C-830	2012	-9	Russia	NA	64.6863136	97.7453061	NA	NA	Caucasica	0.PE	0.PE2	SAMN16619722	KEEP: Assembly Modern No Province	0.0	9.714808605351293e-10	0.1	4.2976698399076743e-07	2012-01-01	2012.0	[2012.0, 2012.0]	676.076766618067	6121.765004473409	19.0	2012.0	7.103890788743036e-05	False
GCA_001295055.1_ASM129505v1_genomic	NA	NA	2.346e-07	grey	8.720939999999999e-05	25.0	C-666	1989	-32	Azerbaijan	Goranboy District	40.3936294	47.787250799999995	40.6065534	46.70500981655712	Caucasica	0.PE	0.PE2	SAMN03861513	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0.0	9.714808605351293e-10	0.1	2.148851283690082e-07	1989-01-01	1989.0	[1989.0, 1989.0]	569.3111943099875	6098.765004473408	29.0	1989.0	7.686200923161514e-05	False
GCA_001972415.1_ASM197241v1_genomic	NA	NA	1.51449e-05	grey	0.0001026359	28.0	SCPM-O-B-6983	1969	-52	NA	NA	NA	NA	NA	NA	Caucasica	0.PE	0.PE2	SAMN05521424	KEEP: Assembly Modern No Location	0.0	2.0783408349816967e-08	2.1393533515800467	1.3768990545052404e-05	1969-01-01	1969.0	[1969.0, 1969.0]	520.8683363817158	6078.765004473409	30.0	1969.0	9.0845898357887e-05	False
GCA_003074395.1_ASM307439v1_genomic	NA	NA	2.35e-08	grey	8.798370000000001e-05	29.0	3544	1979	-42	Armenia	Shirak Province	40.7696272	44.6736646	40.918594	43.8403536	Caucasica	0.PE	0.PE2	SAMN05225434	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0.0	1.114248255332785e-09	0.11469585254814119	4.29775851022727e-07	1979-01-01	1979.0	[1979.0, 1979.0]	530.8683363817158	6088.765004473409	31.0	1979.0	7.750668366385732e-05	False
GCA_001295065.1_ASM129506v1_genomic	NA	NA	4.692e-07	grey	8.746749999999999e-05	31.0	C-267	1969	-52	Azerbaijan	Goranboy District	40.3936294	47.787250799999995	40.6065534	46.70500981655712	Caucasica	0.PE	0.PE2	SAMN03861484	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0.0	6.35025163087005e-09	0.6536671888082372	4.297772454343816e-07	1969-01-01	1969.0	[1969.0, 1969.0]	103.94668255749662	6078.765004473407	32.0	1969.0	7.707690351240651e-05	False
