Sample	Strain	Date	DateBP	Country	Province	CountryLat	CountryLon	ProvinceLat	ProvinceLon	Biovar
GCA_009669545.1_ASM966954v1_genomic	42126	2006	-14	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669555.1_ASM966955v1_genomic	42123	2005	-15	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669565.1_ASM966956v1_genomic	42118	2005	-15	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669605.1_ASM966960v1_genomic	42117	2005	-15	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669625.1_ASM966962v1_genomic	42116	2005	-15	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669675.1_ASM966967v1_genomic	42114	2004	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669635.1_ASM966963v1_genomic	42113	2003	-17	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669665.1_ASM966966v1_genomic	42110	2002	-18	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669725.1_ASM966972v1_genomic	42102	1987	-33	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669715.1_ASM966971v1_genomic	42099	1986	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669705.1_ASM966970v1_genomic	42098	1986	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669775.1_ASM966977v1_genomic	42094	1983	-37	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669765.1_ASM966976v1_genomic	42093	1983	-37	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669805.1_ASM966980v1_genomic	42092	1980	-40	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669825.1_ASM966982v1_genomic	42090	2001	-19	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669835.1_ASM966983v1_genomic	42089	2001	-19	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669845.1_ASM966984v1_genomic	42088	2001	-19	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669875.1_ASM966987v1_genomic	42086	2001	-19	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669905.1_ASM966990v1_genomic	42085	2001	-19	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669955.1_ASM966995v1_genomic	42084	2000	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669925.1_ASM966992v1_genomic	42083	1999	-21	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669935.1_ASM966993v1_genomic	42081	1995	-25	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009669975.1_ASM966997v1_genomic	42080	1995	-25	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670005.1_ASM967000v1_genomic	42079	1995	-25	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670045.1_ASM967004v1_genomic	42078	1995	-25	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670015.1_ASM967001v1_genomic	42077	1994	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670055.1_ASM967005v1_genomic	42075	1993	-27	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670075.1_ASM967007v1_genomic	42074	1993	-27	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670115.1_ASM967011v1_genomic	42072	1992	-28	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009667895.1_ASM966789v1_genomic	42071	1991	-29	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670135.1_ASM967013v1_genomic	42070	1991	-29	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670155.1_ASM967015v1_genomic	42069	1991	-29	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670105.1_ASM967010v1_genomic	42068	1989	-31	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670185.1_ASM967018v1_genomic	42065	1988	-32	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670205.1_ASM967020v1_genomic	42064	1988	-32	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670225.1_ASM967022v1_genomic	42063	1987	-33	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670235.1_ASM967023v1_genomic	42062	1987	-33	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670245.1_ASM967024v1_genomic	42061	1987	-33	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009667925.1_ASM966792v1_genomic	42060	1987	-33	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670285.1_ASM967028v1_genomic	42059	1987	-33	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670305.1_ASM967030v1_genomic	42058	1987	-33	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670345.1_ASM967034v1_genomic	42057	1987	-33	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009667935.1_ASM966793v1_genomic	42056	1986	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670355.1_ASM967035v1_genomic	42055	1986	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670325.1_ASM967032v1_genomic	42054	1986	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009667885.1_ASM966788v1_genomic	42053	1986	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670385.1_ASM967038v1_genomic	42052	1986	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009667945.1_ASM966794v1_genomic	42051	1986	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009670415.1_ASM967041v1_genomic	42050	1986	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
GCA_009667985.1_ASM966798v1_genomic	42049	1986	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	NA
