id	SRA_id	SRABioProjectAccession	SRABioSampleAccession	SRAExperimentAccession	SRARunAccession	SRASampleAccession	SRAExperimentName	SRAExperimentStatus	SRAExperimentVersion	SRAIsPublic	SRASampleName	SRAStaticDataAvailable	SRAStudyAcc	SRAStudName	SRATitle	SRAOrganismName	SRAOrganismTaxID	SRAClusterName	SRAInstrumentModel	SRALibraryName	SRALibraryLayout	SRALibrarySelection	SRALibrarySource	SRALibraryStrategy	SRAPlatform	SRATotalBases	SRATotalSize	SRATotalSpots	SRATotalRuns	SRACreateDate	SRAUpdateDate	SRACenterName	SRAContactName	SRALabName	SRASubmitterAccession	SRAComment
1	8482332	PRJNA552616	SAMN12214381	SRX6405451	SRR9643638	SRS5063441	GSM3928097: U937 infected or not with Y. pestis WT, targeting infected, rep2; Homo sapiens; OTHER	public	1	true		true	SRP212970	CRISPR-Cas9 mutagenesis of U937 cells for variants resistant to Yersinia pestis intoxication	GSM3928097: U937 infected or not with Y. pestis WT, targeting infected, rep2; Homo sapiens; OTHER	None	9606	public	Illumina NextSeq 500	None	SINGLE	other	GENOMIC	OTHER	ILLUMINA	8894303085	3128807272	112586115	1	2019/07/08	2019/07/03	GEO	Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt		SRA917034	None
2	8482331	PRJNA552616	SAMN12214382	SRX6405450	SRR9643637	SRS5063440	GSM3928096: U937 infected or not with Y. pestis WT, targeting un-infected, rep2; Homo sapiens; OTHER	public	1	true		true	SRP212970	CRISPR-Cas9 mutagenesis of U937 cells for variants resistant to Yersinia pestis intoxication	GSM3928096: U937 infected or not with Y. pestis WT, targeting un-infected, rep2; Homo sapiens; OTHER	None	9606	public	Illumina NextSeq 500	None	SINGLE	other	GENOMIC	OTHER	ILLUMINA	8295811488	3008112423	105010272	1	2019/07/08	2019/07/03	GEO	Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt		SRA917034	None
3	8482330	PRJNA552616	SAMN12214383	SRX6405449	SRR9643636	SRS5063439	GSM3928095: U937 infected with Y. pestis WT and lcrV mutant, targeting mutant; Homo sapiens; OTHER	public	1	true		true	SRP212970	CRISPR-Cas9 mutagenesis of U937 cells for variants resistant to Yersinia pestis intoxication	GSM3928095: U937 infected with Y. pestis WT and lcrV mutant, targeting mutant; Homo sapiens; OTHER	None	9606	public	Illumina NextSeq 500	None	SINGLE	other	GENOMIC	OTHER	ILLUMINA	3518165618	1226242935	44533742	1	2019/07/08	2019/07/03	GEO	Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt		SRA917034	None
4	8482329	PRJNA552616	SAMN12214384	SRX6405448	SRR9643635	SRS5063438	GSM3928094: U937 infected with Y. pestis WT and lcrV mutant, targeting WT; Homo sapiens; OTHER	public	1	true		true	SRP212970	CRISPR-Cas9 mutagenesis of U937 cells for variants resistant to Yersinia pestis intoxication	GSM3928094: U937 infected with Y. pestis WT and lcrV mutant, targeting WT; Homo sapiens; OTHER	None	9606	public	Illumina NextSeq 500	None	SINGLE	other	GENOMIC	OTHER	ILLUMINA	17317215382	4149934168	219205258	1	2019/07/08	2019/07/03	GEO	Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt		SRA917034	None
5	8482328	PRJNA552616	SAMN12214385	SRX6405447	SRR9643634	SRS5063437	GSM3928093: U937 infected or not with Y. pestis WT, targeting infected, rep1; Homo sapiens; OTHER	public	1	true		true	SRP212970	CRISPR-Cas9 mutagenesis of U937 cells for variants resistant to Yersinia pestis intoxication	GSM3928093: U937 infected or not with Y. pestis WT, targeting infected, rep1; Homo sapiens; OTHER	None	9606	public	Illumina NextSeq 500	None	SINGLE	other	GENOMIC	OTHER	ILLUMINA	7745495550	2903908803	103273274	4	2019/07/08	2019/07/03	GEO	Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt		SRA917034	None
6	8482327	PRJNA552616	SAMN12214386	SRX6405446	SRR9643630	SRS5063436	GSM3928092: U937 infected or not with Y. pestis WT, targeting un-infected, rep1; Homo sapiens; OTHER	public	1	true		true	SRP212970	CRISPR-Cas9 mutagenesis of U937 cells for variants resistant to Yersinia pestis intoxication	GSM3928092: U937 infected or not with Y. pestis WT, targeting un-infected, rep1; Homo sapiens; OTHER	None	9606	public	Illumina NextSeq 500	None	SINGLE	other	GENOMIC	OTHER	ILLUMINA	17959049100	6775652010	239453988	4	2019/07/08	2019/07/03	GEO	Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt		SRA917034	None
7	7967507	PRJEB29991	SAMEA5661393	ERX3365927	ERR3341237	ERS3465412	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	WAG001.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	5940988704	1988960561	78170904	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
8	7967506	PRJEB29991	SAMEA5661384	ERX3365926	ERR3341236	ERS3465403	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	VAL001.B0102.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	4883262124	1616871073	64253449	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
9	7967505	PRJEB29991	SAMEA5661392	ERX3365925	ERR3341235	ERS3465411	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	UNT006.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	7421089616	2465295083	97645916	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
10	7967504	PRJEB29991	SAMEA5661390	ERX3365924	ERR3341234	ERS3465409	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	UNT004.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	2147603896	726212759	28257946	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
