id	Assembly_id	AssemblyAccession	AssemblyBioSampleAccession	AssemblyBioSampleID	AssemblyGenbankBioprojectAccession	AssemblyGenbankID	AssemblyRefseqBioprojectAccession	AssemblyRefSeqCategory	AssemblyRefSeqID	AssemblyWGSAccession	AssemblyInfraspecies	AssemblyIsolate	AssemblyOrganism	AssemblySpeciesTaxonomicID	AssemblySpeciesName	AssemblyTaxonomicID	AssemblyName	AssemblyStatus	AssemblyType	AssemblyCoverage	AssemblyChromosomes	AssemblyContigCount	AssemblyContigN50	AssemblyContigL50	AssemblyNonChromosomalReplicons	AssemblyReplicons	AssemblyScaffolds	AssemblyScaffoldN50	AssemblyScaffoldL50	AssemblyTotalLength	AssemblyUngappedLength	AssemblySubmitterOrganization	AssemblySubmissionDate	AssemblyReleaseDate	AssemblyFTPAssemblyReport	AssemblyFTPGenbank	AssemblyFTPRefSeq	AssemblyFTPStatsReport	AssemblyComment
1	3592681	GCF_006546745.1	SAMN12138636	12138636	PRJNA224116	11602358	PRJNA224116	na	11697038	VIDZ01	I_3269	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM654674v1	Contig	haploid	48	0	280	41138	38	0	0	280	41138	38	4641539	4641539	Russian Research Anti-Plague institute "Microbe"	2019/07/02 00:00	2019/07/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/546/745/GCF_006546745.1_ASM654674v1/GCF_006546745.1_ASM654674v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/546/745/GCA_006546745.1_ASM654674v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/546/745/GCF_006546745.1_ASM654674v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/546/745/GCF_006546745.1_ASM654674v1/GCF_006546745.1_ASM654674v1_assembly_stats.txt	None
2	3592661	GCF_006546725.1	SAMN12138635	12138635	PRJNA224116	11602308	PRJNA224116	na	11696978	VIDY01	I_3196	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM654672v1	Contig	haploid	48	0	193	52511	29	0	0	193	52511	29	4636541	4636541	Russian Research Anti-Plague institute "Microbe"	2019/07/02 00:00	2019/07/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/546/725/GCF_006546725.1_ASM654672v1/GCF_006546725.1_ASM654672v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/546/725/GCA_006546725.1_ASM654672v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/546/725/GCF_006546725.1_ASM654672v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/546/725/GCF_006546725.1_ASM654672v1/GCF_006546725.1_ASM654672v1_assembly_stats.txt	None
3	3592641	GCF_006546665.1	SAMN12138633	12138633	PRJNA224116	11602288	PRJNA224116	na	11696938	VIDX01	I_3193	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM654666v1	Contig	haploid	48	0	219	48772	32	0	0	219	48772	32	4635751	4635751	Russian Research Anti-Plague institute "Microbe"	2019/07/02 00:00	2019/07/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/546/665/GCF_006546665.1_ASM654666v1/GCF_006546665.1_ASM654666v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/546/665/GCA_006546665.1_ASM654666v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/546/665/GCF_006546665.1_ASM654666v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/546/665/GCF_006546665.1_ASM654666v1/GCF_006546665.1_ASM654666v1_assembly_stats.txt	None
4	3578621	GCF_006517425.1	SAMN12131171	12131171	PRJNA224116	11571078	PRJNA224116	na	11596428	VHPW01	I_3068	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM651742v1	Contig	haploid	48	0	213	50918	29	0	0	213	50918	29	4635102	4635102	Russian Research Anti-Plague institute "Microbe"	2019/06/30 00:00	2019/06/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/517/425/GCF_006517425.1_ASM651742v1/GCF_006517425.1_ASM651742v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/517/425/GCA_006517425.1_ASM651742v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/517/425/GCF_006517425.1_ASM651742v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/517/425/GCF_006517425.1_ASM651742v1/GCF_006517425.1_ASM651742v1_assembly_stats.txt	None
5	3518101	GCF_006376585.1	SAMN12012142	12012142	PRJNA224116	11360558	PRJNA224116	na	11518598	VFAB01	C-371	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM637658v1	Contig	haploid	80	0	199	40677	40	0	0	199	40677	40	4502100	4502100	Stavropol Plague Control Reseach Institute	2019/06/16 00:00	2019/06/16 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/585/GCF_006376585.1_ASM637658v1/GCF_006376585.1_ASM637658v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/585/GCA_006376585.1_ASM637658v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/585/GCF_006376585.1_ASM637658v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/585/GCF_006376585.1_ASM637658v1/GCF_006376585.1_ASM637658v1_assembly_stats.txt	None
6	3518091	GCF_006376575.1	SAMN12012133	12012133	PRJNA224116	11360538	PRJNA224116	na	11518558	VFAA01	C-284	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM637657v1	Contig	haploid	80	0	259	34816	47	0	0	259	34816	47	4432033	4432033	Stavropol Plague Control Reseach Institute	2019/06/16 00:00	2019/06/16 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/575/GCF_006376575.1_ASM637657v1/GCF_006376575.1_ASM637657v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/575/GCA_006376575.1_ASM637657v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/575/GCF_006376575.1_ASM637657v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/575/GCF_006376575.1_ASM637657v1/GCF_006376575.1_ASM637657v1_assembly_stats.txt	None
7	3518081	GCF_006376545.1	SAMN12012010	12012010	PRJNA224116	11360518	PRJNA224116	na	11518398	VEZY01	C-273	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM637654v1	Contig	haploid	80	0	255	34611	44	0	0	255	34611	44	4540622	4540622	Stavropol Plague Control Reseach Institute	2019/06/16 00:00	2019/06/16 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/545/GCF_006376545.1_ASM637654v1/GCF_006376545.1_ASM637654v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/545/GCA_006376545.1_ASM637654v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/545/GCF_006376545.1_ASM637654v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/545/GCF_006376545.1_ASM637654v1/GCF_006376545.1_ASM637654v1_assembly_stats.txt	None
8	3518071	GCF_006376535.1	SAMN12012131	12012131	PRJNA224116	11360498	PRJNA224116	na	11518238	VEZZ01	C-281	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM637653v1	Contig	haploid	80	0	526	14472	90	0	0	526	14472	90	4397657	4397657	Stavropol Plague Control Reseach Institute	2019/06/16 00:00	2019/06/16 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/535/GCF_006376535.1_ASM637653v1/GCF_006376535.1_ASM637653v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/535/GCA_006376535.1_ASM637653v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/535/GCF_006376535.1_ASM637653v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/535/GCF_006376535.1_ASM637653v1/GCF_006376535.1_ASM637653v1_assembly_stats.txt	None
9	3518061	GCF_006376505.1	SAMN12011946	12011946	PRJNA224116	11360478	PRJNA224116	na	11518318	VEZX01	C-232	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM637650v1	Contig	haploid	80	0	221	39687	39	0	0	221	39687	39	4541338	4541338	Stavropol Plague Control Reseach Institute	2019/06/16 00:00	2019/06/16 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/505/GCF_006376505.1_ASM637650v1/GCF_006376505.1_ASM637650v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/505/GCA_006376505.1_ASM637650v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/505/GCF_006376505.1_ASM637650v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/505/GCF_006376505.1_ASM637650v1/GCF_006376505.1_ASM637650v1_assembly_stats.txt	None
10	3518051	GCF_006376495.1	SAMN12011930	12011930	PRJNA224116	11360458	PRJNA224116	na	11518538	VEZW01	C-231	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM637649v1	Contig	haploid	80	0	235	35843	45	0	0	235	35843	45	4383063	4383063	Stavropol Plague Control Reseach Institute	2019/06/16 00:00	2019/06/16 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/495/GCF_006376495.1_ASM637649v1/GCF_006376495.1_ASM637649v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/495/GCA_006376495.1_ASM637649v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/495/GCF_006376495.1_ASM637649v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/495/GCF_006376495.1_ASM637649v1/GCF_006376495.1_ASM637649v1_assembly_stats.txt	None
